date,futures_id,contract_date,open,max,min,close,漲跌價,漲跌%,volume,settlement_price,open_interest,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,trading_session,價差對單式委託成交量,sess
2025/12/22,TX,202601,27898.0,28188.0,27870.0,28120.0,223,0.80%,46171,,,28119,28120,28728,26277,,盤後,,after
2025/12/22,TX,202601,28256.0,28368.0,28170.0,28341.0,444,1.59%,52684,28341.0,73240.0,28335,28340,28728,26277,,一般,,day
2025/12/23,TX,202601,28346.0,28400.0,28289.0,28343.0,2,0.01%,26638,,,28341,28348,28728,26277,,盤後,,after
2025/12/23,TX,202601,28392.0,28455.0,28359.0,28413.0,72,0.25%,38940,28415.0,72941.0,28413,28417,28728,26277,,一般,,day
2025/12/24,TX,202601,28411.0,28562.0,28336.0,28562.0,147,0.52%,31924,,,28558,28563,28728,26277,,盤後,,after
2025/12/24,TX,202601,28565.0,28577.0,28400.0,28472.0,57,0.20%,37086,28467.0,74207.0,28467,28471,28728,26277,,一般,,day
2025/12/26,TX,202601,28595.0,28714.0,28536.0,28673.0,206,0.72%,44249,28677.0,75964.0,28672,28673,28728,26277,,一般,,day
2025/12/26,TX,202601,28469.0,28568.0,28457.0,28531.0,64,0.22%,16258,,,28531,28534,28728,26277,,盤後,,after
2025/12/29,TX,202601,28665.0,28735.0,28616.0,28708.0,31,0.11%,22207,,,28706,28709,28735,26277,,盤後,,after
2025/12/29,TX,202601,28749.0,28998.0,28713.0,28950.0,273,0.95%,49289,28940.0,77251.0,28948,28950,28998,26277,,一般,,day
2025/12/30,TX,202601,28777.0,28942.0,28705.0,28881.0,-59,-0.20%,45027,28875.0,75004.0,28877,28880,28998,26277,,一般,,day
2025/12/30,TX,202601,28940.0,28955.0,28716.0,28786.0,-154,-0.53%,31880,,,28784,28786,28998,26277,,盤後,,after
2025/12/31,TX,202601,28842.0,29053.0,28782.0,29016.0,141,0.49%,53098,29014.0,72855.0,29015,29019,29053,26277,,一般,,day
2025/12/31,TX,202601,28867.0,28972.0,28786.0,28879.0,4,0.01%,25932,,,28874,28879,28998,26277,,盤後,,after
2026/01/02,TX,202601,29047.0,29500.0,29026.0,29473.0,459,1.58%,64172,29479.0,75017.0,29472,29473,29500,26277,,一般,,day
2026/01/02,TX,202601,29015.0,29118.0,28961.0,29009.0,-5,-0.02%,24132,,,29005,29012,29118,26277,,盤後,,after
2026/01/05,TX,202601,29888.0,30487.0,29850.0,30313.0,834,2.83%,95320,30309.0,75674.0,30309,30312,30487,26277,,一般,,day
2026/01/05,TX,202601,29505.0,29796.0,29463.0,29776.0,297,1.01%,58378,,,29772,29778,29796,26277,,盤後,,after
2026/01/06,TX,202601,30358.0,30418.0,30209.0,30290.0,-19,-0.06%,37930,,,30289,30293,30487,26277,,盤後,,after
2026/01/06,TX,202601,30271.0,30672.0,30183.0,30617.0,308,1.02%,59699,30627.0,75467.0,30611,30615,30672,26277,,一般,,day
2026/01/07,TX,202601,30628.0,30665.0,30455.0,30603.0,-24,-0.08%,38491,,,30602,30612,30672,26277,,盤後,,after
2026/01/07,TX,202601,30609.0,30676.0,30448.0,30516.0,-111,-0.36%,57861,30516.0,74241.0,30517,30522,30676,26277,,一般,,day
2026/01/08,TX,202601,30362.0,30663.0,30353.0,30458.0,-58,-0.19%,63571,30458.0,72580.0,30458,30461,30676,26277,,一般,,day
2026/01/08,TX,202601,30508.0,30563.0,30266.0,30306.0,-210,-0.69%,34258,,,30305,30308,30676,26277,,盤後,,after
2026/01/09,TX,202601,30433.0,30583.0,30325.0,30458.0,0,0.00%,38418,,,30454,30458,30676,26277,,盤後,,after
2026/01/09,TX,202601,30450.0,30578.0,30005.0,30456.0,-2,-0.01%,83205,30453.0,72254.0,30452,30453,30676,26277,,一般,,day
2026/01/12,TX,202601,30469.0,30840.0,30417.0,30826.0,373,1.22%,45074,,,30820,30828,30840,26277,,盤後,,after
2026/01/12,TX,202601,30717.0,30763.0,30555.0,30701.0,248,0.81%,57701,30700.0,71308.0,30701,30704,30840,26277,,一般,,day
2026/01/13,TX,202601,31067.0,31252.0,30626.0,30874.0,174,0.57%,76999,30870.0,72530.0,30873,30874,31252,26277,,一般,,day
2026/01/13,TX,202601,30730.0,31107.0,30652.0,31071.0,371,1.21%,46616,,,31070,31080,31107,26277,,盤後,,after
2026/01/14,TX,202601,31000.0,31162.0,30937.0,30982.0,112,0.36%,54974,30980.0,75427.0,30980,30983,31252,26277,,一般,,day
2026/01/14,TX,202601,30870.0,31127.0,30855.0,30956.0,86,0.28%,52649,,,30953,30958,31252,26277,,盤後,,after
2026/01/15,TX,202601,30831.0,31057.0,30744.0,31050.0,70,0.23%,58154,31050.0,75732.0,31050,31052,31252,26277,,一般,,day
2026/01/15,TX,202601,30940.0,30990.0,30657.0,30841.0,-139,-0.45%,52310,,,30834,30841,31252,26277,,盤後,,after
2026/01/16,TX,202601,31382.0,31536.0,31157.0,31474.0,424,1.37%,72871,31476.0,70108.0,31473,31477,31543,26277,,一般,,day
2026/01/16,TX,202601,31182.0,31543.0,31119.0,31335.0,285,0.92%,65948,,,31335,31341,31543,26277,,盤後,,after
2026/01/19,TX,202601,31491.0,31525.0,31287.0,31342.0,-134,-0.43%,35778,,,31342,31346,31543,26277,,盤後,,after
2026/01/19,TX,202601,31272.0,31774.0,31208.0,31669.0,193,0.61%,89177,31672.0,46669.0,31667,31669,31774,26277,,一般,,day
2026/01/20,TX,202601,31481.0,31742.0,31328.0,31672.0,0,0.00%,81251,31668.0,22999.0,31673,31675,31774,26277,,一般,,day
2026/01/20,TX,202601,31641.0,31690.0,31525.0,31558.0,-114,-0.36%,24067,,,31555,31561,31774,26277,,盤後,,after
